No,Filename,Width,Height,AspectRatio,PixelAspectRatio,RatioSource,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,screenshot_dashboard.png,1662,1299,1.28,1.28,pixel,1,,bitmap,True,True,110.0,Standard landscape,768x600,372x600
2,screenshot_home.png,1651,1333,1.24,1.24,pixel,1,,bitmap,True,True,262.9,Standard landscape,743x600,397x600
3,screenshot_privacy.png,1659,1231,1.35,1.35,pixel,1,,bitmap,True,True,99.3,Standard landscape,809x600,331x600
4,screenshot_recommendation.png,1470,1396,1.05,1.05,pixel,1,,bitmap,True,True,90.4,Near square,632x600,508x600
5,screenshot_review.png,2260,1441,1.57,1.57,pixel,1,,bitmap,True,True,72.6,Wide landscape,812x518,328x600
